CP,BE-sup,B-sup,C,B-inf,BE-inf,Extra1,Extra2,Extra3,Extra4
1,5.42,22,5.98,43,5.36,64,5.91,85,5.63
2,5.6,23,5.49,44,4.75,65,4.49,86,4.7
3,5.81,24,4.48,45,4.28,66,5.47,87,4.87
4,5.68,25,5.49,46,3.81,67,4.35,88,4.84
5,5.45,26,5.09,47,4.67,68,5.22,89,5.29
6,5.43,27,5.07,48,4.05,69,4.97,90,4.95
7,5.91,28,5.53,49,5.19,70,4.77,91,4.82
8,5.7,29,5.42,50,4.33,71,5.18,92,5.51
9,5.95,30,5.21,51,5.03,72,5.49,93,5.58
10,5.46,31,5.28,52,4.95,73,5.03,94,5.25
11,4.85,32,4.98,53,5.54,74,5.33,95,5.73
12,4.46,33,5.4,54,4.05,75,4.02,96,5.22
13,5.26,34,4.72,55,3.01,76,5.08,97,5.85
14,4.79,35,4.75,56,4.54,77,5.05,98,5.04
15,5.0,36,4.75,57,3.06,78,4.88,99,4.51
16,4.75,37,4.63,58,3.25,79,4.83,100,4.72
17,4.73,38,4.78,59,4.89,80,4.35,101,4.45
18,4.81,39,4.53,60,4.04,81,5.11,102,4.78
19,4.97,40,4.8,61,3.39,82,4.47,103,4.64
20,4.62,41,4.75,62,3.35,83,4.3,104,4.41
21,5.04,42,4.07,63,3.64,84,4.84,105,4.51
